Order ID,Order Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month_Name,Profit Margin
CA-2023-100027,2021-12-03 20:42:31.178265872,Second Class,Corporate,Ohio,Central,Furniture,Bookcases,41.97,2,0.0,13.87,2021,12,Dec,33.05
CA-2020-100028,2022-11-11 12:41:10.485815776,Standard Class,Consumer,Illinois,West,Furniture,Furnishings,83.25,9,0.3,-4.79,2022,11,Nov,-5.75
CA-2021-100029,2020-09-03 04:04:48.907790064,Standard Class,Consumer,Florida,East,Technology,Copiers,135.34,7,0.1,2.96,2020,9,Sep,2.19
CA-2022-100030,2021-03-03 02:36:24.820133088,Second Class,Consumer,Florida,Central,Furniture,Furnishings,69.98,13,0.0,23.98,2021,3,Mar,34.27
CA-2023-100031,2023-01-09 21:59:19.293540800,First Class,Consumer,New York,South,Technology,Phones,149.32,4,0.0,27.27,2023,1,Jan,18.26
CA-2020-100032,2022-06-19 14:27:26.630309696,Same Day,Home Office,New York,South,Technology,Accessories,204.28,7,0.1,53.53,2022,6,Jun,26.2
CA-2021-100033,2023-08-30 13:44:17.267223696,Same Day,Consumer,Ohio,East,Office Supplies,Binders,240.92,10,0.1,8.43,2023,8,Aug,3.5
CA-2022-100034,2022-02-18 01:13:59.525691696,Same Day,Corporate,Georgia,Central,Office Supplies,Supplies,669.26,12,0.2,190.32,2022,2,Feb,28.44
CA-2023-100035,2021-11-17 12:00:19.452644216,Standard Class,Consumer,Pennsylvania,South,Office Supplies,Paper,40.31,2,0.2,8.52,2021,11,Nov,21.14
CA-2020-100036,2022-11-27 12:37:25.699704800,Standard Class,Home Office,Illinois,Central,Technology,Copiers,208.05,12,0.1,17.82,2022,11,Nov,8.57
CA-2021-100037,2023-02-04 04:34:29.905438528,Same Day,Home Office,Illinois,West,Technology,Machines,77.72,5,0.5,-4.18,2023,2,Feb,-5.38
CA-2022-100038,2020-06-15 20:10:14.559463650,Second Class,Home Office,Ohio,Central,Office Supplies,Storage,228.15,12,0.4,-49.21,2020,6,Jun,-21.57
CA-2023-100039,2021-01-18 01:27:49.505178364,First Class,Home Office,Texas,South,Furniture,Tables,228.45,9,0.0,71.13,2021,1,Jan,31.14
CA-2020-100040,2022-11-26 12:04:47.466853456,Second Class,Corporate,Georgia,South,Technology,Accessories,55.32,11,0.0,4.09,2022,11,Nov,7.39
CA-2021-100041,2023-08-23 23:57:20.056036416,Second Class,Consumer,New York,Central,Furniture,Bookcases,60.27,2,0.0,11.05,2023,8,Aug,18.33
CA-2022-100042,2022-07-20 20:48:04.034622496,Standard Class,Consumer,Florida,South,Technology,Accessories,247.56,3,0.0,109.27,2022,7,Jul,44.14
CA-2023-100043,2021-03-11 08:42:41.985290440,First Class,Consumer,New York,South,Office Supplies,Supplies,151.93,5,0.0,14.95,2021,3,Mar,9.84
CA-2020-100044,2022-09-13 05:08:12.980437280,Same Day,Consumer,Ohio,South,Technology,Machines,119.15,5,0.1,24.9,2022,9,Sep,20.9
CA-2021-100045,2022-11-21 04:06:02.395557104,Standard Class,Consumer,Michigan,Central,Furniture,Furnishings,286.57,8,0.0,22.42,2022,11,Nov,7.82
CA-2022-100046,2020-08-15 00:45:27.693000448,First Class,Consumer,Ohio,South,Technology,Machines,308.5,7,0.0,98.03,2020,8,Aug,31.78
CA-2023-100047,2023-08-12 16:13:08.192325008,Same Day,Consumer,Washington,East,Furniture,Chairs,87.39,3,0.0,14.11,2023,8,Aug,16.15
CA-2020-100048,2023-08-24 06:58:05.265422528,Second Class,Home Office,Texas,West,Furniture,Chairs,63.3,5,0.0,11.01,2023,8,Aug,17.39
CA-2021-100049,2021-04-08 15:10:35.993395704,First Class,Home Office,California,East,Technology,Machines,42.02,8,0.1,4.42,2021,4,Apr,10.52
CA-2022-100050,2021-02-17 23:02:30.397758540,Standard Class,Corporate,California,East,Office Supplies,Binders,153.46,5,0.0,20.27,2021,2,Feb,13.21
CA-2023-100051,2020-12-20 06:43:36.380647420,First Class,Home Office,Texas,West,Office Supplies,Binders,35.76,14,0.4,3.81,2020,12,Dec,10.65
CA-2020-100052,2021-03-31 14:19:52.735277928,First Class,Corporate,Florida,East,Office Supplies,Binders,163.93,2,0.0,67.59,2021,3,Mar,41.23
CA-2021-100053,2022-08-13 07:33:32.087857104,Standard Class,Consumer,Washington,West,Office Supplies,Storage,501.12,10,0.4,39.09,2022,8,Aug,7.8
CA-2022-100054,2020-05-03 05:32:47.058588082,Standard Class,Consumer,Michigan,Central,Furniture,Furnishings,104.22,2,0.0,9.65,2020,5,May,9.26
CA-2023-100055,2020-03-04 00:57:33.925051283,Standard Class,Home Office,New York,West,Office Supplies,Storage,86.82,1,0.1,5.5,2020,3,Mar,6.33
CA-2020-100056,2021-10-26 05:17:52.236954016,Second Class,Home Office,Florida,West,Technology,Copiers,1094.27,6,0.0,322.69,2021,10,Oct,29.49
CA-2021-100057,2020-02-27 06:27:41.039675789,Same Day,Consumer,Texas,Central,Technology,Copiers,671.63,1,0.3,133.08,2020,2,Feb,19.81
CA-2022-100058,2023-03-27 20:02:40.664431872,Standard Class,Consumer,Pennsylvania,West,Technology,Copiers,69.09,8,0.0,20.17,2023,3,Mar,29.19
CA-2023-100059,2023-10-24 06:50:22.724771104,Second Class,Home Office,California,South,Technology,Accessories,170.55,1,0.4,-23.73,2023,10,Oct,-13.91
CA-2020-100060,2023-11-01 11:11:28.587581920,First Class,Consumer,California,West,Furniture,Tables,206.17,8,0.0,77.72,2023,11,Nov,37.7
CA-2021-100061,2022-09-12 13:21:31.259318560,First Class,Home Office,Michigan,East,Technology,Accessories,181.94,6,0.0,18.95,2022,9,Sep,10.42
CA-2022-100062,2021-04-12 19:06:20.227147648,Standard Class,Consumer,California,East,Office Supplies,Storage,911.12,9,0.1,294.02,2021,4,Apr,32.27
CA-2023-100063,2022-05-16 02:58:31.922749792,Second Class,Home Office,Florida,South,Technology,Copiers,161.94,3,0.2,45.32,2022,5,May,27.99
CA-2020-100064,2021-03-05 00:11:18.681142744,Second Class,Home Office,Pennsylvania,South,Technology,Phones,188.15,14,0.4,22.03,2021,3,Mar,11.71
CA-2021-100065,2020-01-21 12:37:55.959373592,Second Class,Consumer,Florida,South,Furniture,Chairs,295.5,14,0.1,8.59,2020,1,Jan,2.91
CA-2022-100066,2020-08-14 01:58:00.762495620,Standard Class,Consumer,Washington,East,Technology,Accessories,487.81,7,0.2,53.58,2020,8,Aug,10.98
CA-2023-100067,2022-05-07 08:35:55.641166752,Standard Class,Home Office,New York,South,Office Supplies,Supplies,378.76,2,0.2,46.95,2022,5,May,12.4
CA-2020-100068,2021-07-12 12:30:17.741531992,Second Class,Corporate,Michigan,Central,Technology,Accessories,254.19,5,0.1,12.19,2021,7,Jul,4.8
CA-2021-100069,2020-09-23 02:41:14.448391452,First Class,Corporate,Georgia,East,Office Supplies,Storage,31.23,12,0.2,3.4,2020,9,Sep,10.89
CA-2022-100070,2020-05-12 05:10:57.247210686,First Class,Corporate,Michigan,South,Office Supplies,Binders,91.09,1,0.0,28.11,2020,5,May,30.86
CA-2023-100071,2023-04-25 14:46:53.788962816,Standard Class,Corporate,Texas,South,Technology,Copiers,336.78,5,0.1,34.21,2023,4,Apr,10.16
CA-2020-100072,2020-03-23 13:02:51.651573523,Standard Class,Consumer,Pennsylvania,Central,Technology,Phones,190.64,8,0.2,3.1,2020,3,Mar,1.63
CA-2021-100073,2022-11-14 12:33:53.882023312,Second Class,Corporate,Michigan,Central,Office Supplies,Paper,339.04,10,0.1,-2.0,2022,11,Nov,-0.59
CA-2022-100074,2022-04-27 17:11:03.731425424,Second Class,Corporate,Texas,West,Office Supplies,Paper,979.62,3,0.3,188.8,2022,4,Apr,19.27
CA-2023-100075,2021-07-01 15:17:13.691899736,Second Class,Home Office,California,Central,Office Supplies,Storage,45.74,6,0.3,6.01,2021,7,Jul,13.14
CA-2020-100076,2023-06-12 05:49:42.918897280,First Class,Home Office,New York,West,Office Supplies,Supplies,463.08,13,0.3,52.69,2023,6,Jun,11.38
CA-2021-100077,2021-03-09 18:08:33.333666880,Second Class,Consumer,Pennsylvania,Central,Technology,Machines,106.66,4,0.0,6.26,2021,3,Mar,5.87
CA-2022-100078,2021-01-20 04:18:17.273227596,Same Day,Home Office,California,Central,Technology,Phones,378.17,8,0.0,113.35,2021,1,Jan,29.97
CA-2023-100079,2022-06-11 17:07:05.976884976,Second Class,Corporate,Ohio,East,Technology,Copiers,142.42,13,0.0,17.41,2022,6,Jun,12.22
CA-2020-100080,2023-02-03 00:31:29.067894128,Same Day,Corporate,New York,West,Office Supplies,Paper,1245.14,14,0.5,-106.23,2023,2,Feb,-8.53
CA-2021-100081,2021-07-24 13:46:22.628708656,Standard Class,Consumer,Texas,West,Furniture,Tables,169.03,2,0.0,50.45,2021,7,Jul,29.85
CA-2022-100082,2020-07-15 10:11:32.009806374,Standard Class,Consumer,Florida,West,Technology,Copiers,78.22,5,0.0,30.57,2020,7,Jul,39.08
CA-2023-100083,2021-02-02 23:38:53.416720868,Second Class,Corporate,Texas,Central,Technology,Accessories,225.85,6,0.0,34.37,2021,2,Feb,15.22
CA-2020-100084,2022-08-23 02:28:46.602291488,Same Day,Home Office,Florida,West,Technology,Accessories,205.19,11,0.0,12.51,2022,8,Aug,6.1
CA-2021-100085,2020-10-11 03:42:46.127983188,Standard Class,Home Office,Washington,West,Technology,Phones,463.17,8,0.0,192.51,2020,10,Oct,41.56
CA-2022-100086,2020-01-16 18:40:41.306849452,Second Class,Consumer,Illinois,West,Office Supplies,Paper,232.31,2,0.0,96.05,2020,1,Jan,41.35
CA-2023-100087,2023-08-08 14:02:35.260919600,Second Class,Consumer,Washington,Central,Furniture,Furnishings,1763.52,9,0.0,409.74,2023,8,Aug,23.23
CA-2020-100088,2021-04-30 23:38:14.511432432,Second Class,Consumer,Michigan,West,Office Supplies,Binders,132.77,7,0.4,-31.7,2021,4,Apr,-23.88
CA-2021-100089,2022-01-17 04:51:51.702606696,Same Day,Corporate,Georgia,East,Furniture,Chairs,134.34,10,0.2,11.98,2022,1,Jan,8.92
CA-2022-100090,2023-09-14 07:52:20.341221792,Standard Class,Home Office,Michigan,West,Technology,Copiers,81.13,13,0.2,8.08,2023,9,Sep,9.96
CA-2023-100091,2021-04-24 22:07:36.416670832,Second Class,Home Office,Illinois,West,Office Supplies,Binders,161.69,14,0.1,48.3,2021,4,Apr,29.87
CA-2020-100092,2022-06-03 12:46:00.114074144,Standard Class,Home Office,Illinois,South,Office Supplies,Paper,186.99,4,0.3,18.11,2022,6,Jun,9.69
CA-2021-100093,2023-04-30 03:28:34.534447392,First Class,Corporate,Michigan,Central,Furniture,Chairs,196.61,10,0.4,-47.52,2023,4,Apr,-24.17
CA-2022-100094,2022-01-22 07:35:02.866863456,First Class,Consumer,Ohio,East,Office Supplies,Supplies,158.73,2,0.4,1.93,2022,1,Jan,1.22
CA-2023-100095,2022-08-11 04:43:04.319807872,Standard Class,Home Office,Illinois,East,Furniture,Chairs,80.65,8,0.0,8.41,2022,8,Aug,10.43
CA-2020-100096,2021-01-19 16:01:58.156801920,First Class,Corporate,Michigan,South,Furniture,Bookcases,61.46,2,0.3,-9.48,2021,1,Jan,-15.42
CA-2021-100097,2020-10-25 02:33:44.876169508,First Class,Home Office,Ohio,East,Furniture,Tables,101.99,2,0.0,21.36,2020,10,Oct,20.94
CA-2022-100098,2023-03-10 02:01:54.194226240,First Class,Corporate,Pennsylvania,East,Technology,Machines,464.77,13,0.0,37.62,2023,3,Mar,8.09
CA-2023-100099,2023-01-25 11:24:26.693350672,Second Class,Home Office,Georgia,East,Technology,Accessories,576.4,9,0.0,220.02,2023,1,Jan,38.17
CA-2020-100100,2023-09-29 07:15:57.322259472,Same Day,Consumer,Washington,West,Technology,Copiers,137.42,4,0.2,10.34,2023,9,Sep,7.52
CA-2021-100101,2021-02-15 07:55:43.513283632,First Class,Home Office,Pennsylvania,West,Furniture,Bookcases,57.88,7,0.1,11.85,2021,2,Feb,20.47
CA-2022-100102,2022-10-10 21:34:36.569770352,Second Class,Corporate,Georgia,West,Technology,Accessories,136.84,10,0.0,38.42,2022,10,Oct,28.08
CA-2023-100103,2022-11-29 03:11:34.351328368,Standard Class,Home Office,California,South,Furniture,Tables,1201.91,14,0.2,338.03,2022,11,Nov,28.12
CA-2020-100104,2023-06-06 21:50:57.847600944,Standard Class,Corporate,Ohio,South,Office Supplies,Supplies,403.01,4,0.1,135.54,2023,6,Jun,33.63
CA-2021-100105,2023-06-15 17:58:45.431530496,First Class,Corporate,New York,West,Technology,Phones,257.43,5,0.0,100.31,2023,6,Jun,38.97
CA-2022-100106,2022-11-01 07:14:48.157302240,Second Class,Home Office,Texas,Central,Furniture,Bookcases,388.65,1,0.1,47.92,2022,11,Nov,12.33
CA-2023-100107,2022-12-14 16:36:41.751138240,Same Day,Corporate,Pennsylvania,West,Office Supplies,Storage,692.68,10,0.1,19.42,2022,12,Dec,2.8
CA-2020-100108,2022-10-08 18:44:08.801721120,Same Day,Corporate,Texas,Central,Technology,Copiers,46.86,1,0.0,13.44,2022,10,Oct,28.68
CA-2021-100109,2021-06-26 12:34:02.527642968,Standard Class,Consumer,Georgia,East,Technology,Accessories,100.28,10,0.0,22.68,2021,6,Jun,22.62
CA-2022-100110,2020-05-23 12:55:09.110922098,Standard Class,Consumer,Ohio,Central,Technology,Copiers,87.47,10,0.5,-22.72,2020,5,May,-25.97
CA-2023-100111,2023-04-03 08:04:26.573272624,Second Class,Consumer,Illinois,South,Technology,Phones,266.96,14,0.3,-40.29,2023,4,Apr,-15.09
CA-2020-100112,2023-12-12 01:56:12.692249952,First Class,Corporate,Texas,South,Office Supplies,Supplies,174.18,3,0.0,39.09,2023,12,Dec,22.44
CA-2021-100113,2021-04-25 22:40:14.649522192,Standard Class,Home Office,Texas,East,Office Supplies,Paper,316.18,6,0.1,72.83,2021,4,Apr,23.03
CA-2022-100114,2023-12-26 14:48:41.859208480,First Class,Home Office,Michigan,South,Furniture,Furnishings,89.4,12,0.0,26.83,2023,12,Dec,30.01
CA-2023-100115,2020-10-23 06:44:02.317506380,First Class,Consumer,Washington,Central,Office Supplies,Storage,585.2,1,0.1,163.6,2020,10,Oct,27.96
CA-2020-100116,2020-05-09 22:50:06.874468404,Second Class,Corporate,Ohio,West,Office Supplies,Paper,138.47,12,0.1,21.69,2020,5,May,15.66
CA-2021-100117,2021-01-20 09:33:51.180267172,First Class,Consumer,New York,West,Technology,Accessories,297.24,12,0.0,53.1,2021,1,Jan,17.86
CA-2022-100118,2022-06-07 11:26:10.440786512,Standard Class,Consumer,Georgia,South,Office Supplies,Paper,490.49,4,0.0,130.22,2022,6,Jun,26.55
CA-2023-100119,2023-04-08 12:32:49.039875920,Second Class,Corporate,Ohio,South,Furniture,Furnishings,452.65,9,0.0,199.17,2023,4,Apr,44.0
CA-2020-100120,2022-04-25 07:19:50.753990096,Same Day,Consumer,Pennsylvania,Central,Office Supplies,Supplies,212.9,2,0.1,-2.55,2022,4,Apr,-1.2
CA-2021-100121,2023-11-27 13:03:43.525291440,First Class,Corporate,Florida,West,Office Supplies,Supplies,336.75,2,0.4,-19.71,2023,11,Nov,-5.85
CA-2022-100122,2022-10-14 11:28:50.384750080,Second Class,Consumer,California,Central,Technology,Machines,846.97,2,0.5,-184.89,2022,10,Oct,-21.83
CA-2023-100123,2021-03-08 10:35:09.891429424,Second Class,Home Office,Georgia,South,Technology,Machines,248.04,10,0.4,-56.52,2021,3,Mar,-22.79
CA-2020-100124,2023-11-09 13:47:23.148046224,Same Day,Consumer,Florida,South,Technology,Phones,71.55,10,0.5,-12.6,2023,11,Nov,-17.61
CA-2021-100125,2023-11-19 03:27:03.755441040,Second Class,Home Office,Washington,East,Furniture,Tables,265.88,7,0.0,81.48,2023,11,Nov,30.65
CA-2022-100126,2023-02-19 07:28:29.491169264,Same Day,Consumer,Washington,South,Office Supplies,Supplies,142.98,7,0.2,14.48,2023,2,Feb,10.13
CA-2023-100127,2021-05-31 03:41:02.380547352,First Class,Consumer,New York,West,Office Supplies,Binders,14.18,6,0.0,0.87,2021,5,May,6.14
CA-2020-100128,2021-02-10 08:42:54.953719916,Second Class,Home Office,Pennsylvania,South,Technology,Machines,235.57,2,0.3,9.81,2021,2,Feb,4.16
CA-2021-100129,2020-12-29 18:38:05.685695700,Same Day,Consumer,New York,Central,Furniture,Bookcases,166.78,5,0.3,-16.21,2020,12,Dec,-9.72
CA-2022-100130,2023-03-06 12:07:40.379246512,Same Day,Corporate,California,South,Furniture,Chairs,471.74,13,0.1,50.28,2023,3,Mar,10.66
CA-2023-100131,2021-12-28 11:31:00.069044880,First Class,Home Office,Washington,West,Technology,Phones,70.1,6,0.1,6.65,2021,12,Dec,9.49
CA-2020-100132,2022-09-04 01:59:40.187121632,Second Class,Corporate,Ohio,West,Technology,Phones,32.93,6,0.0,12.95,2022,9,Sep,39.33
CA-2021-100133,2020-04-16 22:35:46.635312954,First Class,Corporate,Pennsylvania,South,Technology,Machines,175.68,10,0.0,12.13,2020,4,Apr,6.9
CA-2022-100134,2023-04-13 20:31:34.111172256,Same Day,Home Office,Florida,Central,Office Supplies,Supplies,217.06,6,0.5,-45.76,2023,4,Apr,-21.08
CA-2023-100135,2020-01-31 11:03:33.078501025,Second Class,Consumer,California,Central,Technology,Accessories,163.01,6,0.3,-5.23,2020,1,Jan,-3.21
CA-2020-100136,2021-07-14 10:05:11.602541648,First Class,Corporate,Washington,South,Furniture,Chairs,151.52,1,0.0,45.08,2021,7,Jul,29.75
CA-2021-100137,2020-09-14 10:03:49.469154952,Standard Class,Consumer,Texas,South,Office Supplies,Binders,50.97,12,0.0,18.63,2020,9,Sep,36.55
CA-2022-100138,2021-08-04 16:15:00.585380496,Standard Class,Corporate,California,Central,Furniture,Furnishings,129.16,4,0.0,44.05,2021,8,Aug,34.1
CA-2023-100139,2022-05-02 12:53:29.686296096,Second Class,Home Office,Ohio,Central,Office Supplies,Storage,104.75,1,0.5,-5.13,2022,5,May,-4.9
CA-2020-100140,2021-11-12 21:33:27.404813128,Standard Class,Home Office,Michigan,Central,Office Supplies,Storage,433.85,13,0.4,-83.75,2021,11,Nov,-19.3
CA-2021-100141,2020-03-26 07:40:01.140741482,First Class,Corporate,Michigan,South,Technology,Phones,216.88,12,0.1,72.59,2020,3,Mar,33.47
CA-2022-100142,2022-07-11 14:09:08.636613792,Standard Class,Home Office,Florida,South,Furniture,Chairs,112.39,13,0.2,6.26,2022,7,Jul,5.57
CA-2023-100143,2021-06-20 23:19:43.549307048,First Class,Corporate,Pennsylvania,South,Technology,Copiers,832.04,3,0.2,-87.83,2021,6,Jun,-10.56
CA-2020-100144,2023-11-28 17:06:44.362835840,First Class,Consumer,California,East,Technology,Machines,113.42,12,0.0,35.98,2023,11,Nov,31.72
CA-2021-100145,2021-08-08 07:54:25.702706760,Standard Class,Corporate,Florida,Central,Technology,Copiers,259.25,11,0.4,-7.36,2021,8,Aug,-2.84
CA-2022-100146,2022-12-17 04:13:06.030920096,Same Day,Corporate,Florida,West,Furniture,Chairs,125.6,14,0.1,2.56,2022,12,Dec,2.04
CA-2023-100147,2021-12-05 04:15:54.620503328,Standard Class,Corporate,New York,South,Furniture,Furnishings,758.36,11,0.0,329.09,2021,12,Dec,43.39
CA-2020-100148,2023-11-22 12:05:43.663381200,First Class,Home Office,Pennsylvania,Central,Technology,Machines,161.88,11,0.0,44.46,2023,11,Nov,27.46
CA-2021-100149,2022-05-02 09:23:07.081603040,Standard Class,Home Office,Pennsylvania,Central,Technology,Accessories,166.74,11,0.1,26.3,2022,5,May,15.77
CA-2022-100150,2023-02-19 10:58:52.095862304,Standard Class,Home Office,Ohio,West,Office Supplies,Storage,129.04,2,0.0,27.0,2023,2,Feb,20.92
CA-2023-100151,2020-08-23 05:06:33.555811276,Second Class,Corporate,Florida,East,Technology,Accessories,180.64,2,0.2,-4.71,2020,8,Aug,-2.61
CA-2020-100152,2022-05-23 15:32:56.064441888,First Class,Home Office,Washington,West,Technology,Accessories,492.52,6,0.3,94.13,2022,5,May,19.11
CA-2021-100153,2020-02-17 23:48:45.641667083,Same Day,Home Office,Washington,West,Furniture,Chairs,345.79,1,0.2,59.08,2020,2,Feb,17.09
CA-2022-100154,2020-10-19 15:04:37.200180116,Second Class,Home Office,California,Central,Office Supplies,Paper,152.64,4,0.1,30.08,2020,10,Oct,19.71
CA-2023-100155,2023-05-07 02:01:28.257367280,First Class,Home Office,Illinois,West,Technology,Machines,813.48,9,0.1,180.98,2023,5,May,22.25
CA-2020-100156,2023-09-13 14:20:27.317756544,Standard Class,Home Office,Ohio,East,Furniture,Tables,355.31,3,0.0,137.21,2023,9,Sep,38.62
CA-2021-100157,2022-07-31 05:44:48.967829088,Same Day,Corporate,Florida,Central,Office Supplies,Binders,95.76,8,0.1,21.48,2022,7,Jul,22.43
CA-2022-100158,2021-04-10 16:15:52.459098416,First Class,Corporate,Texas,South,Technology,Machines,37.32,9,0.0,3.58,2021,4,Apr,9.59
CA-2023-100159,2023-05-03 01:36:06.628308400,Standard Class,Home Office,Pennsylvania,Central,Office Supplies,Supplies,98.0,2,0.4,0.87,2023,5,May,0.89
CA-2020-100160,2023-05-22 10:11:01.750137584,Second Class,Home Office,New York,East,Furniture,Tables,224.38,5,0.4,-9.88,2023,5,May,-4.4
CA-2021-100161,2022-09-03 15:28:32.373042480,First Class,Corporate,California,East,Furniture,Bookcases,269.67,6,0.0,117.72,2022,9,Sep,43.65
CA-2022-100162,2021-05-02 01:56:04.046630312,Second Class,Corporate,Ohio,East,Furniture,Bookcases,577.75,5,0.3,59.79,2021,5,May,10.35
CA-2023-100163,2023-11-30 16:26:49.526192016,First Class,Home Office,Texas,West,Furniture,Bookcases,49.67,6,0.2,1.37,2023,11,Nov,2.76
CA-2020-100164,2021-07-19 14:33:34.069144944,Second Class,Consumer,Texas,East,Technology,Copiers,95.66,5,0.5,-28.3,2021,7,Jul,-29.58
CA-2021-100165,2020-07-12 12:03:59.915945364,Standard Class,Home Office,Illinois,East,Office Supplies,Binders,45.71,7,0.1,7.45,2020,7,Jul,16.3
CA-2022-100166,2021-11-10 15:12:37.032070848,First Class,Consumer,Texas,Central,Technology,Accessories,38.91,5,0.2,6.29,2021,11,Nov,16.17
CA-2023-100167,2022-02-01 21:47:21.707109616,Second Class,Home Office,Michigan,Central,Technology,Accessories,79.22,5,0.1,3.24,2022,2,Feb,4.09
CA-2020-100168,2020-11-05 05:02:22.832841348,Standard Class,Consumer,New York,Central,Technology,Accessories,214.14,12,0.0,66.34,2020,11,Nov,30.98
CA-2021-100169,2023-05-25 08:18:33.843998592,Standard Class,Consumer,California,Central,Furniture,Bookcases,320.99,7,0.0,122.05,2023,5,May,38.02
CA-2022-100170,2021-07-08 06:49:22.205433528,First Class,Home Office,Ohio,West,Furniture,Chairs,57.49,3,0.0,6.49,2021,7,Jul,11.29
CA-2023-100171,2023-06-09 04:11:48.220343216,First Class,Corporate,Ohio,West,Technology,Machines,66.07,10,0.0,21.96,2023,6,Jun,33.24
CA-2020-100172,2021-03-04 17:10:33.471756640,First Class,Corporate,Michigan,West,Furniture,Tables,25.03,7,0.0,1.93,2021,3,Mar,7.71
